resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_temp,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state
2,Night Run,6303.2,2380,2546,22.0,Run,Run,,15158283669,2025-07-18T19:00:03Z,2025-07-18T21:00:03Z,(GMT+01:00) Europe/Paris,7200.0,,,,1,4,0,1,0,False,False,False,False,everyone,False,g18631689,"[49.231249, 4.040294]","[49.216406, 4.066951]",2.648,6.0,77.5,28.0,320.8,513.0,339.0,True,756.9,True,149.6,186.0,False,True,88.4,78.8,16186521262,16186521262,garmin_ping_460406341516,False,1,0,False,14548647,1,a15158283669,gnnkHybtWiBjAeBtAkAr@QNs@d@UHGNKJc@^q@VQNc@RqAz@UHw@z@]h@UVUd@SRKPUVKTi@r@_@XCFULQPa@Ze@|@o@n@_@T}@~@g@`@o@^_ALk@ROHI?{@X[ByAX]LWPOXUTQHINIDYXYR[b@IH[LIHI?KGK?IFa@e@DYE_@o@cAYq@QSAK]}@CKK]QiAEAGDMIM?c@j@E?@OJK\q@Fa@DFFKLAJG`@_@^WrA{ATOn@o@r@}@h@w@p@q@zAcBj@g@rAyARORSZa@TQf@q@b@a@p@y@XYPWPOf@k@z@}@lAyAZYV[\Yx@aAZWd@g@PMzAuBdAmBL[R_@fAcDl@sBl@uDL{@n@kDLaALk@ZiDFE^aBHMBM?@CG@KBKBLAF?KDQ@YPq@?MDMB[TaA?MDMFg@N{@@U\}A\kBj@yD^qBJu@d@yC~A_J\aCD?jAfA|@n@TRf@\PRrA~@XVJTBd@Cn@GTa@`AK\CTEx@Ox@AX@r@DVh@x@Ht@JNPFLAXUZOf@_@jAg@^G`AWt@Mr@GP@DDZF`@VnAlAHD^`@v@PpAn@LL\J\Zh@^HBPPHDHe@AKRu@F_@?IHc@NYCk@CQDWLY?EJODSPa@DOv@iBZiAVkATYf@wBlCgKNw@NaAP}@Zw@XeANiA^mAPmAT}@Ng@\}@h@yBd@o@La@LgAHuALiAHWTKJM@UKo@Ak@^mD`@mCJwAp@wET}@RcAN[JMJETDZCXDt@PrAf@H@j@RH@h@TlA\f@ZRP`AhAB@BA?C?DA@AG?@HN?D,2
2,Petit échauffement d’avant Padel,20316.1,10280,10317,453.0,Run,TrailRun,0.0,15136992633,2025-07-16T16:21:16Z,2025-07-16T18:21:16Z,(GMT+01:00) Europe/Paris,7200.0,,,,3,10,0,1,0,False,False,False,False,everyone,False,g24706785,"[49.191942, 3.943224]","[49.191729, 3.943412]",1.976,3.96,72.5,,254.8,2463.0,276.0,True,2587.9,True,153.3,184.0,False,True,264.8,142.0,16163164761,16163164761,garmin_ping_459740266796,False,0,1,False,14548647,1,a15136992633,sxfkHcdaWq@z@yCbGOHs@MATRx@g@fASfAwDvFSBa@w@_@COLoApC@p@Xr@CH_BbB[Bg@^iFtF{@d@Yb@kEtCcAtAY?_Ak@sBZYM_AgA[Ty@vAy@d@yDi@sAFeDvGiA`GQjB}@bF_CJyAv@kAhBmAbAiBzEi@hCtC`D`A~Ae@tDBPbEwEvDmFdAy@~GuDTAX^ZHtDg@Rs@r@g@fA]`@{@bAC|@c@SECe@Bd@JBX[H]Wb@@PtNOP^NzBHX\CT\b@RfFARdAE^VRz@IvCiAnBk@tFmAj@m@x@bBd@p@bA^VrArAnCF`@VX|@fC^f@f@lAjB`BpAtATd@dA~@x@\fBHp@f@Tt@FOh@DpAj@`Ex@dDpAfD`Bx@QxAPCHd@\lAj@^ET`@f@pCb@Z`@rBdAjGh@xD\fD|@vE?nA`MbEvAlGHxA`@~BrArFPtA^z@\bBz@tArAdAlBfCrAnCXnAh@lEVh@ThATvGv@xXdAbFfA|AvCt@tAbApDvF`BrDlFnHvGnDbBnAjEhBZe@XaBpAyNrJsl@l@sHVqAx@mB~@wAvEqDdAiAnGuLz@aA|@a@t@E`KhB|C[B_@YeD}@aI?k@XwCKuAKSc@GmAoA_@gAa@mCNg@|C}DnA_AzA}Fh@aSe@aJo@aCYmB_@k@k@eCQcBoAiF@qAMaBOe@E{B}@qEmBiGaAcCqAwBM}@g@oAe@sBo@oBiAsBs@o@{AoCkBoBCYJ_@Uq@aA?g@P}@bAqGjDgBb@kDZiCpAsBnBqJ~KIh@Fj@hGzJ~CnEJf@Ab@]n@qBjBgNbP[q@cAw@Um@y@_C}DoOcAwA}@yBoA}AUo@qCgDoC_Fo@_BBuKb@aBjAsCQl@QMCwBQm@BYx@u@Tq@SgF`@}BvC{GpBgBjAqD|CeEXm@Hi@@iBIo@eFoGa@@k@hBi@bASdBk@z@kHfFsBjAm@DsBuAsAqA}AuBaCgGeDqOW?qBlAe@yEw@cDeC{@sEtBcFhAkDa@aAa@gAVq@yBwCtDs@h@s@jAAzASh@KNOe@\pAfA~B~@|CNfAi@bHrBnHNnAuHjBkAJyC~@y@f@a@eBgAo@Y?Q}@QSw@GONIdAHh@w@~@Qj@u@d@y@DUk@CuBg@wA?g@f@q@@W[s@_@Da@OGS^aBD[GQeAHuCq@uADcBS,2
2,Evening Run,10245.2,4200,9204,79.0,Run,Run,0.0,15082787911,2025-07-11T18:51:06Z,2025-07-11T20:51:06Z,(GMT+01:00) Europe/Paris,7200.0,,,,1,11,0,1,0,False,False,False,False,everyone,False,g18631689,"[49.228829, 4.042033]","[49.228349, 4.037786]",2.439,3.86,78.6,27.0,303.3,448.0,300.0,True,1269.1,True,150.7,185.0,False,True,115.0,82.4,16103750960,16103750960,garmin_ping_458080185683,False,0,0,False,14548647,1,a15082787911,c_nkHumtWGa@@SFObAoA|@iBb@s@Ng@Xc@`AkBrAgDFIn@uAb@q@Xk@jAoBVi@t@iA^cCIOSMIMQ]Ya@AQHg@\}@@QCE_@FKSEWPaALk@HUDW?KGYmAgDIc@J}@ROR]X{@TSFOJEJ?~Ap@vAbA\j@DVBd@El@aA|DAb@YnA_@nAOv@H^VTzA|@n@n@`At@PX?b@DHJBVEJBzBbB|A|@pAjARb@Hj@DfAFZDfAXhD?`@Fl@@^L~@?`@NvBbApANhA@b@Df@DDTd@LFf@Dl@Gr@Fn@bAHb@FhATzBNrDP|BDz@@rCA`A]~FQfAO^SPKb@ATLjA?TCd@A~AJvBN|@^rAn@vATb@p@dBtAxCd@zA`@dBHh@A`@WnA@d@V`A@d@FJNJDLBl@GhA]~BmC|L[`AuApGQd@ARBTTn@F^Hz@APOz@GRq@^OFa@?WNILgArDUh@Kf@O\Ux@Sj@Yf@M^ATBTPb@?Rm@~Bs@jBMl@[fAmA~CIZSd@_@jAEDE\GT@ADJFBBNKlBKh@c@zBSt@Ml@k@rBe@`C_@nAy@hDShA}AnGSbAQl@{AxGKf@AVIb@F~@CZKXi@f@Yr@YjAe@xBi@rB[hBSh@Ux@_AdEy@`DG^_@bBi@nBKTKn@cAjEIb@g@nBe@rBIj@Fn@@n@Ld@Rb@PVXVzB|@hAyBj@}CT}@Fe@?Y`@iBHm@Ru@d@uARaAHYZaB\uAFo@Ji@Tw@@a@\{A?eAm@aCi@s@}AmACK@K\eBv@sCHo@f@sBN_@h@[Ne@@SGu@@U\uBbAaE^iBr@kCf@cC^}AX_Al@uCJUH_@NaAJSLe@\_BpAmFLy@Fu@JeBF_@?o@DYlBmFv@mCx@_CPs@Rm@@WAMEUOSOc@EQASPo@Xg@Pi@tA{FRm@Ha@HU@QCq@IqAFq@Cu@oB{AaAcAaBoAu@q@MEq@k@q@q@uBgB[]ISQIsAoAc@q@cCsC]g@Sk@Y]i@{@Ka@g@c@m@{@o@i@kCgEa@e@Qc@{E_IUi@q@gAi@iAw@uAq@{A]kAyAyFUsAC]BYBOb@q@b@g@|@uA`@e@BMHy@Rw@Jw@BMNK\KXa@\w@LM,2
2,Trail mini Tordus,12612.8,6070,6286,318.0,Run,TrailRun,0.0,15018565019,2025-07-05T16:00:51Z,2025-07-05T18:00:51Z,(GMT+01:00) Europe/Paris,7200.0,,,,0,15,0,16,0,False,False,False,False,everyone,False,g23916411,"[49.161337, 4.148638]","[49.160907, 4.14757]",2.078,4.4,72.3,,248.5,687.0,265.0,True,1506.6,True,158.8,183.0,False,True,287.2,139.8,16033281914,16033281914,garmin_ping_456062936143,False,0,0,False,14548647,1,a15018565019,iy`kH}giXBGoCc@eAg@CMb@iDfAuFl@sEHYFkAFKf@zA`ApBBPGt@Tt@b@n@x@LJLP|ACpBDLrB]nBy@POWoA]oFG]?y@Li@zALlBx@tCTtBz@ZEfB_A`@]Zi@LR?VHfAJ^`@XJT@REh@o@vDb@l@p@PNVPnAJPn@AFHBj@Nb@j@?Hj@Et@`@BXXJTPBb@AFI]q@c@g@Os@Wm@?[]kCQmEP}AJQfBPtAd@lAL`AXJ?jAu@n@Ab@ZT|@F@b@[VHPSP@n@RNLl@LJ\NLt@Cr@LPGbAPLL@RLNl@Cb@Fj@dAj@Hp@G`B{Ex@iAbB{@j@BLV?dAHXCtEHx@pB~FzB~Ef@tAvCbGv@`Al@b@|@fAbGvFRFd@h@fCrBHHBVAh@CTWn@oBjEyBlESbAg@lAST[x@g@x@q@fB{AvCqAc@w@w@a@YiAYaAm@_AM_@SsA]{AiAQQAWfBmENy@f@gJCa@c@]aAc@{@u@Ya@W?y@m@yAiA[]e@WyBkBIQWEwAoA_Ac@o@s@iAq@{@w@o@g@}AcA]e@gAAu@r@k@pAGd@w@rCc@|@Ij@Yt@o@Xe@KSWCFHpEB\BhBAtBF`A@pDY|AQ`@yAEk@]aARw@Ok@aAI_Aa@gAIoBc@qBG_@Ag@KSKHQa@o@m@_A[EDCr@NbCA~@{ClKSZCh@g@hD_BjGOxAGnCMfBK`AQp@Yj@g@TMRKD{@GaBq@i@Ae@N[Xe@t@OfACbA`@zD@fFTfBFNv@~@z@t@r@pARz@p@hBLh@Nr@Dz@b@hDVpA|@bCDDhCQh@OjAEbCNxAb@XpAYj@CV?fB]fB]ZUt@]f@_@R_@?mE_B}@QoABsA]kDIy@u@aDeF}@eAs@Y{AUcADg@OaFuGYqBIoAByBCkBP}CGc@CkBa@wDA}CS{@ImAYgAKKw@wDGa@@s@IYCe@@IF@h@R^YXGd@q@lAPfAd@B~@h@\b@l@r@JAl@JPtEg@z@BNOPg@\e@pB_AZYp@U`@i@@OIQoAmAkB}BsAmBiEsE?Wl@{ADc@ZqAd@{EeEwCIY@iCIUyBIGMn@}E\}F?}@N_AToBL}BL{@FOJ?hDdBhChATGE?BCEOFK,2
2,Morning Run,5443.0,2057,2203,20.0,Run,Run,,14980782345,2025-07-02T06:20:38Z,2025-07-02T08:20:38Z,(GMT+01:00) Europe/Paris,7200.0,,,,0,11,0,2,0,False,False,False,False,everyone,False,g18631689,"[49.227963, 4.0409]","[49.228825, 4.042235]",2.646,3.5,79.6,29.0,316.9,494.0,311.0,True,650.6,True,155.1,176.0,False,True,89.6,82.0,15991591207,15991591207,garmin_ping_454893200614,False,0,0,False,14548647,1,a14980782345,wymkHsftW@?ACWe@MKEKOOe@{@OMQa@m@u@AO^_@Pm@R_@b@q@Na@`A_BZu@~@gBz@mBb@mA~@_BlAcCHGvAkCT[Jm@TaA@SIOa@a@OY[a@CMFa@^eADSACIEMDU?i@FwAl@ICCEEUZaCJe@D{@XwBNcAHW?_@Dc@FKLKNSh@uAHCJSLI?AiA{@MS}@}@AAM?[Qe@Og@AYDoCn@UJk@NSPsBpAMJQVQJ_@^s@d@q@~@qBbFe@tAi@hCc@hDQTOFOMI?Y?M@c@AI@U?s@Bc@E_ABICCGKk@Nq@L|Aj@BLAd@Fp@Aj@BHCD_@BERQVc@Vg@r@wEFUNe@b@y@Z_AXu@f@kBf@q@d@i@vAy@VW`@g@?KAEGIUQMWEg@?c@ZaBV{@Vg@@c@BOFINEP?VFLHVPTXF?HCp@k@V]Vy@Ve@Tk@PW\u@LeARg@T{AJa@Di@BaBGwBBk@I_@Q]WTSb@MRo@l@_@r@In@_@xB[~@c@v@IVGnBIh@Yt@S\OHY@C@IPCn@ETg@jAQj@Ax@Kl@E\BbABVDJ^\LRNdAT@ZUTIp@g@JCf@SNEDG^GLEb@G^Mf@Kx@CXDTJF@LJv@l@xAxAFBFFAHI@IPUHKRUr@Y^Wr@?LFP@NQ^MnAKf@OdBOr@W~BFRJ@\OLILEH?f@b@PTN`@GR@LBB`@x@XXNHDRg@~BcAlBKL_@p@U\KV_@l@MXKNWf@MPi@jAm@~AcA|B}AfCm@lAe@h@GRIj@_@h@,2
2,Afternoon Run,5712.7,2270,2554,22.0,Run,Run,,14921573972,2025-06-26T11:49:03Z,2025-06-26T13:49:03Z,(GMT+01:00) Europe/Paris,7200.0,,,,1,10,0,3,0,False,False,False,False,everyone,False,g18631689,"[49.253702, 4.045131]","[49.2533, 4.044677]",2.517,6.6,79.6,30.0,310.0,699.0,294.0,True,702.1,True,150.5,173.0,False,True,94.2,73.6,15926561731,15926561731,garmin_ping_452986229026,False,1,0,False,14548647,1,a14921573972,szrkHaauWAZHR?\Ax@EZ@b@Cx@?\C^@lAANCHc@Fo@Aa@DU?i@H{@Bg@CWH[@U?]Ea@?_@F_@?YHa@?a@LYDy@RmAf@QPMHUBIHGRUnAWp@Iv@BRGd@q@t@e@p@a@Z[b@MHEFCJ@J^f@JZPVJ\t@zAT`@B@@LKTSRU^[X[f@_A~@m@t@k@h@UXSNU^kBxBSb@]tASf@_@rAOr@Of@UfAa@tAG\CRA|@BdGETDf@ElABn@ATGRYx@Uj@CLBNj@n@JV\\JTVZz@pAr@z@Vf@PTTh@JNZ`@LTPJVXlCzDNLTBTALFRTBD@NG|@B`@Nb@HFTHLLDp@DRFDH?f@TXTr@dA`@f@bA~Ap@x@d@t@XZlBxCB@F?LWFGB?XP^`@Zl@Nh@`@l@z@bALTPNLZZ`@NX^f@NNRMR]BIX]Ti@R[HUJOo@QUEkDiAE?a@Sc@IOIG?q@c@i@m@O]Ck@KYu@_AYg@c@i@OWeAuAKS[a@a@q@c@c@?SNc@?Me@yBAq@ESe@mAKGO@CA[]M[Yc@EMEUQWGc@?mBF{APiCLi@HQf@[JMd@[LUPm@N]ZUNQp@]\_@`@Ud@o@VMb@_@TKp@q@D@b@YNULI|@e@NQ`@U`Aw@f@k@JCDGGa@IY?K@EX]DK@MGe@Sk@Io@Su@[_ACO@[FWXSjAkAh@]\[T_@\]\o@\_@RKTUXo@PQj@a@LQ^UTGpAm@PCLGd@[HO?WK[e@m@K]}@uAUg@UQs@_AQ_@S[AGBCJ?d@KRY^WAQWqAA_@QaAAWNEd@]VKLCb@o@Ak@Ig@u@gCQw@Su@E[So@SQc@SeAu@eAm@MCII,2
2,Dernier km de l’AMT avec Mathieu Blanchard,1327.7,539,549,5.0,Run,TrailRun,0.0,14873451565,2025-06-21T18:40:58Z,2025-06-21T20:40:58Z,(GMT+01:00) Europe/Paris,7200.0,,,,0,10,1,1,0,False,False,False,False,followers_only,False,g23916411,"[49.880297, 4.827641]","[49.883172, 4.833631]",2.463,6.2,78.1,27.0,285.9,738.0,291.0,True,153.4,True,158.0,187.0,False,True,174.4,154.6,15874329637,15874329637,garmin_ping_451421187385,False,0,2,False,14548647,1,a14873451565,yfmoHw{m\G@@?AFDHBBJAFCJMXO\c@R@^PDEHSb@yDDiCDSL]Lw@Cm@WyAKYQ_@Qw@?]NqBV}@Jm@AOGOGu@I]Iq@Oi@AMKKs@Sa@Eq@Se@CWBEAmAFIDCB@PPnBEPGJGDU?]DOJu@VE@CLAv@KpABt@ARAX[rAGJKHMBS?g@`@a@DSHM@e@CGCIYGwBBaAC_@A{@KgBEeB?u@,2
2,Afternoon Run,1650.0,597,718,2.0,Run,Run,0.0,14872534603,2025-06-21T13:51:39Z,2025-06-21T15:51:39Z,(GMT+01:00) Europe/Paris,7200.0,,,,0,7,0,1,0,False,False,False,False,followers_only,False,g18631689,"[49.888594, 4.803289]","[49.874028, 4.804963]",2.764,3.48,82.2,30.0,325.4,438.0,297.0,True,195.0,True,130.8,165.0,False,True,162.2,151.4,15873329675,15873329675,garmin_ping_451394121395,False,0,0,False,14548647,1,a14872534603,uznoHoci\@}@Dg@DUFKLG^G~@CPC^?r@E`@DRCb@?`@BNAh@BVATEbAEhAK`BY|AQ|A?d@Jb@@`AJjAD^Cj@Qp@CXEn@Yz@W|@Qz@c@jA{@jAcA~@o@p@Ub@KzAS~@?f@CxAZLFRDDBH?XJBDXL`@JBBRDf@X?Aj@J`@?`@MN?PGh@FBHl@ZdAXBFTD^B`@F|@DH@d@@@?AFPCf@?NFZ?TC,2
2,Evening Run,5162.5,1966,2039,44.0,Run,Run,,14820678685,2025-06-16T17:32:02Z,2025-06-16T19:32:02Z,(GMT+01:00) Europe/Paris,7200.0,,,,0,9,0,11,0,False,False,False,False,everyone,False,g18631689,"[49.241366, 4.006792]","[49.241638, 4.006653]",2.626,3.5,80.2,28.0,324.2,460.0,321.0,True,639.8,True,157.2,174.0,False,True,109.6,80.8,15817218924,15817218924,garmin_ping_449783583634,False,0,0,False,14548647,1,a14820678685,ompkHmqmWBKBi@^eBLc@P[Z_@l@eAJMRIJLDRRvBt@xBZp@p@dADLp@dARt@BTAnABZAh@BTDRT`@RTPJPTXj@\|@PRl@jA?NETWn@AJLd@@n@p@rAHb@?\G\GPe@l@q@t@ERF`@JVV\`@|@FXd@jAV\JJRJ~@Xn@l@X`@Zp@x@pCNLj@NNf@Qb@CLNHd@M\Ab@Sl@M`@SPG`@?VITAXETFTBJEb@e@^[FINGFBJCT@PF\FLATIN?J@FFXL\JZELKDQAQQOWQSC_@Oe@Ce@GkAWi@AWK]?m@LkAf@YTSHu@n@cCfBGPBL?HIJK?IOSFa@@e@Tm@`@SFGF{@\}@XsAR]BwB?OBMFONS^GPE?UCOYGSC[KWEG_@We@SCEg@UQOYMq@k@CAk@k@u@o@IEiAeA}BcBYY[i@Si@oAgBi@eAc@aAQi@y@iCG_@GEAYGUCYK[MG_@HMD[XO?KKQ_@S_AGQS]Uo@CQ?g@WqAMa@IEK@QLMBGCIO]uAB]Pa@?UCScAsEWe@K_@MKGCQ?ACHi@?WGIg@W[Ga@a@GY@mAAKa@WWKWCMEUMSm@AUKm@DWV_AhA}CNCNBz@TJLL^\vA^tAN`@R|@CTGFNSANCM@DCFK@_AMq@QeAs@EK@MFI^QRS\OLEh@A@AT?HCr@g@d@Sp@m@X?D@TTf@~@b@hAFVh@fAf@zAFFJBLMd@_Al@w@b@s@b@g@BIB?^PNNHN`AhAj@~@l@t@NVNJb@b@JR`@h@FJ,2
2,Evening Trail Run,7216.7,3487,3816,283.6,Run,TrailRun,0.0,14789602806,2025-06-13T18:19:10Z,2025-06-13T20:19:10Z,(GMT+01:00) Europe/Paris,7200.0,,,,3,10,0,7,0,False,False,False,False,everyone,False,g23916411,"[49.191822, 3.943018]","[49.191865, 3.942478]",2.07,5.16,69.7,,270.1,493.0,273.0,True,914.8,True,158.7,180.0,False,True,237.4,168.8,15783501936,15783501936,garmin_ping_448795640067,False,1,0,False,14548647,1,a14789602806,{wfkHybaWBGIYIGI@w@jAMZo@lAa@~@q@hAMFg@QEAGDCF@JPj@?La@dAObAi@t@GDGPSRO\k@p@GNo@`ACBICOi@KGa@KM@CB_@dA]f@[t@?XFRHLL^?HCFyAzAKDU@g@b@u@`A{ArAiAnAa@XWJ[`@IDCFWLo@l@{BxA_AlAKF]Ec@_@MIK?YJg@N_@BI?c@Wk@{@KII?KJUh@g@x@SP[L]Ai@Mm@?qAMmABIBUh@IHIRAJSd@MNOZ_@d@CHAL_@r@IXSjA@BEJi@rC?LERa@nCKf@IR?HG^AX@NH`@AV\rBFn@@x@BTl@dELh@F@b@_@hAm@h@QbCwAH@NTLHd@JVBTA~@W`@CZQRm@\Yh@QROXGLOB_@KaBGQi@c@QG[[AGDId@GNGF?h@Mn@EZFT?f@HZBnAIPGj@IJEL?p@Mp@a@Z]JU`@aBVy@NYTY|@e@v@q@d@Yj@m@ZOb@c@RI`@[Te@`@gBNa@\]ZOTQ~@aAV[TSVQj@UROt@eAbAcCX_@ZMp@KZKvAMVGVWRUFQ\g@Pm@BWSs@Ck@@iCAaBD_BAu@Gy@?mAE{@GQEq@Ie@Gq@Aq@Ee@B_@FIHBAi@EWCg@Mc@Ee@GCDGDPBd@BH?z@JpB@bAHf@HpAHR@^FX?`CFz@Gh@@lACt@Dd@En@@LCTBx@CPVhA@RCBEKMs@Gy@@m@@IAg@Bc@Ak@H}@@o@Em@A}AI}AMcAM_BIa@EoBDJ@j@FV@\F`@C?AIOwA@GCM?_AIkB@_@BMJKLAHHFNDPDn@DX\n@?HKTANPd@Ex@Df@PLHNCRRb@PXD@JFDFMf@OhAI~AFNEVBNATBHFPPPFABDSxAQz@OXKj@[v@ERILE@GGKi@CsADwBCa@DeBEw@EiDa@cEEuB~J}BN?j@MYHU@EBOBECU?ECu@I{@]S@SFM@i@GE@GCu@Cm@SAEMJI?F`@FvAApABZBPAv@N~@NnBBJARFx@Ar@Bj@AZ@LCh@?b@BDEz@@FAX@L?ZETBNAnA@VJVH`@Sy@C[A{@DqAAiABu@?_AGsABgAEiAOaBIa@Ec@?aAEa@?U,2
